,address,latitude,longitude,price,beds,bath,square,build,year,style
0,"3536 Albert Street, Regina, Saskatchewan, S4S 3P5",50.421741,-104.61856660000001,499900,4,3,1720,Residential,1952,Freehold
1,"83 Turner Crescent, Regina, Saskatchewan, S4N 4P7",50.4537687,-104.5472798700269,259900,3,2,923,Residential,1974,Freehold
3,"4853 Trinity WAY, Regina, Saskatchewan, S4W 0E2",50.4152789,-104.6494513,439900,3,4,1406,Condominium,2011,"2 Storey, Row/Townhouse"
4,"2195 Toronto STREET, Regina, Saskatchewan, S4P 0B7",50.4755012,-104.5991419,134900,3,2,1105,Condominium,2006,"2 Storey, Row/Townhouse"
7,"2195 Toronto STREET, Regina, Saskatchewan, S4P 0B7",50.4755012,-104.5991419,134900,3,2,1105,Condominium,2006,"2 Storey, Row/Townhouse"
12,"3931 James Hill ROAD, Regina, Saskatchewan, S4W 0N8",50.4125141,-104.6595355,257000,2,3,1065,Condominium,2017,"2 Storey, Row/Townhouse"
13,"42 Mackenzie MEWS, Regina, Saskatchewan, S4N 5M5",50.4579407,-104.5419025,164900,3,2,1122,Condominium,1976,"2 Storey, Row/Townhouse"
16,"89 Westfield DRIVE, Regina, Saskatchewan, S4S 2S5",50.4056985,-104.6229806,479900,3,2,1368,Condominium,1970,"2 Storey, Row/Townhouse"
17,"89 Mackenzie WAY, Regina, Saskatchewan, S4N 5M4",50.4578201,-104.542543,169950,2,3,1122,Condominium,1976,"2 Storey, Row/Townhouse"
18,"3440 Avonhurst DRIVE 203, Regina, Saskatchewan, S4R 3K1",50.4707983,-104.6180311,260000,2,2,1084,Condominium,2014,"3 Storey, Row/Townhouse"
20,"230 Westpointe ESTATES N, Regina, Saskatchewan, S4Y 1A4",50.4794404,-104.69673497447712,524900,2,2,2032,Condominium,2001,"Bungalow, House"
21,"230 Westpointe ESTATES N, Regina, Saskatchewan, S4Y 1A4",50.4794404,-104.69673497447712,524900,2,2,2032,Condominium,2001,"Bungalow, House"
22,"2235 Wallace STREET, Regina, Saskatchewan, S4N 4A8",50.4472307,-104.5934752,299900,2,2,995,Condominium,2003,"Bungalow, Row/Townhouse"
23,"6318 Engel DRIVE, Regina, Saskatchewan, S4X 4L2",50.495905,-104.671529,289900,1,2,1008,Condominium,1989,"Bungalow, Row/Townhouse"
24,"75 Hudson DRIVE, Regina, Saskatchewan, S4S 2W1",50.41723755,-104.63410022200348,419900,3,2,2476,Residential,1967,Freehold
25,"617 College AVENUE E, Regina, Saskatchewan, S4N 0W3",50.441303,-104.57510958823529,138000,3,2,832,Residential,1955,Freehold
26,"1104 Horace STREET, Regina, Saskatchewan, S4T 5L4",50.46046855,-104.66001137340572,259900,3,1,807,Residential,1955,Freehold
27,"1931 Connaught STREET, Regina, Saskatchewan, S4T 4T6",50.4568125,-104.6467345,409900,4,2,1720,Residential,2016,Freehold
28,"1234 Argyle STREET, Regina, Saskatchewan, S4T 3R7",50.4591245,-104.63289553360681,63583,3,1,929,Residential,1946,Freehold
29,"1101 Queen STREET, Regina, Saskatchewan, S4T 4B3",50.46120595,-104.63661445006097,60233,2,1,874,Residential,1949,Freehold
30,"1616 Parker AVENUE, Regina, Saskatchewan, S4S 4S1",50.4121001,-104.60535726732274,359000,4,2,1864,Residential,1963,Freehold
31,"1008 7th AVENUE N, Regina, Saskatchewan, S4R 0H1",50.4809184,-104.59580847516679,269900,4,2,900,Residential,1973,Freehold
32,"5037 Snowbirds CRESCENT, Regina, Saskatchewan, S4W 0H5",50.4146236,-104.6522177975959,599900,4,4,1889,Residential,2013,Freehold
34,"373 Halifax STREET, Regina, Saskatchewan, S4R 1T1",50.472660700000006,-104.60311554667939,299900,4,3,975,Residential,2011,Freehold
35,"2900 Garnet STREET, Regina, Saskatchewan, S4S 1X2",50.43318725,-104.62712871294585,259900,3,1,816,Residential,1946,Freehold
36,"26 Elizabeth CRESCENT, Regina, Saskatchewan, S4T 5V9",50.46471845,-104.63989049889912,169900,3,2,918,Residential,1948,Freehold
37,"2316 McDonald STREET, Regina, Saskatchewan, S4N 2Z1",50.4420424,-104.583947225,229900,2,2,735,Residential,1950,Freehold
38,"2633 Pasqua STREET, Regina, Saskatchewan, S4S 0M4",50.43654015,-104.64049474999999,389900,4,2,1087,Residential,1954,Freehold
39,"764 Athol STREET, Regina, Saskatchewan, S4T 3B3",50.4265994,-104.6282243,169900,2,1,936,Residential,2021,Freehold
40,"8245 Wascana Gardens POINT, Regina, Saskatchewan, S4V 1G8",50.4138538,-104.52664497890025,759900,5,4,2525,Residential,2007,Freehold
41,"1108 Garnet STREET, Regina, Saskatchewan, S4T 2X8",50.46112615,-104.62714155,39900,2,1,892,Residential,1930,Freehold
42,"734 Montague STREET, Regina, Saskatchewan, S4T 3G9",50.4670202,-104.63004543205969,39900,2,1,714,Residential,1953,Freehold
43,"3248 Green Water DRIVE, Regina, Saskatchewan, S4V 3R5",50.4265258,-104.5166356772855,409900,3,3,1349,Residential,2017,Freehold
44,"1560 Rae STREET, Regina, Saskatchewan, S4T 2C7",50.4538911,-104.62137773242372,24900,2,1,855,Residential,1928,Freehold
45,"118 Ottawa STREET, Regina, Saskatchewan, S4R 1N2",50.4766152,-104.6008796001625,149900,3,1,816,Residential,1957,Freehold
46,"3612 Green Lily ROAD, Regina, Saskatchewan, S4V 3M8",50.42155205,-104.50732333723957,624900,3,4,1732,Residential,2016,Freehold
48,"2731 Cameron STREET, Regina, Saskatchewan, S4T 2W7",50.4359057,-104.62503695,349900,4,3,1218,Residential,1964,Freehold
49,"1348 Rae STREET, Regina, Saskatchewan, S4T 2C3",50.457350149999996,-104.62139474708894,54000,4,2,1178,Residential,1910,Freehold
50,"7327 Whelan DRIVE, Regina, Saskatchewan, S4X 3W8",50.498257699999996,-104.68608455391197,289900,4,3,1166,Residential,1984,Freehold
51,"6930 Maple Vista DRIVE, Regina, Saskatchewan, S4X 0J8",50.5043034,-104.6792652,799900,5,3,2214,Residential,2015,Freehold
52,"85 Dorothy STREET, Regina, Saskatchewan, S4T 7B2",50.45593715,-104.6793517166449,309900,4,3,1054,Residential,1983,Freehold
53,"1114 McEachern DRIVE N, Regina, Saskatchewan, S4X 0M7",50.4982804,-104.6243879,468900,3,3,1400,Residential,2021,Freehold
54,"3633 GREEN MOSS LANE, Regina, Saskatchewan, S4V 1M2",50.4211433,-104.52583159453627,499000,3,3,1656,Residential,2011,Freehold
55,"1812 Ottawa STREET, Regina, Saskatchewan, S4P 1P4",50.45011305,-104.60086000000001,115000,3,1,779,Residential,1952,Freehold
56,"5133 MCKINLEY AVENUE, Regina, Saskatchewan, S4T 7L2",50.4685948,-104.6551435003255,249900,4,2,846,Residential,1975,Freehold
57,"3854 Gee CRESCENT, Regina, Saskatchewan, S4V 3H4",50.4205386,-104.5038836,423900,3,3,1538,Residential,2018,Freehold
58,"3027 Robinson STREET, Regina, Saskatchewan, S4S 1V3",50.4310182,-104.62362103533232,259900,3,2,718,Residential,1927,Freehold
59,"3612 Mason AVENUE, Regina, Saskatchewan, S4S 0Z6",50.4286668,-104.63295263765605,284900,3,2,960,Residential,1952,Freehold
60,"95 PROCTER PLACE, Regina, Saskatchewan, S4S 4G2",50.418127999999996,-104.61481264490052,299900,4,2,1132,Residential,1963,Freehold
61,"2176 Lindsay STREET, Regina, Saskatchewan, S4N 3B9",50.44416045,-104.58533813420017,194500,2,1,1044,Residential,1945,Freehold
62,"2053 Wallace STREET, Regina, Saskatchewan, S4N 4A3",50.4461212,-104.59340807438356,119900,2,1,600,Residential,1927,Freehold
63,"1663 Montague STREET, Regina, Saskatchewan, S4T 7R5",50.4524584,-104.6293901,179900,4,2,1188,Residential,1945,Freehold
64,"7308 Dewdney AVENUE, Regina, Saskatchewan, S4T 1E6",50.4554469,-104.68534342505986,279900,4,3,1176,Residential,1975,Freehold
65,"2117 McTavish STREET, Regina, Saskatchewan, S4T 3X1",50.44510135,-104.6337209825324,214900,3,2,932,Residential,1926,Freehold
66,"1223 Athol STREET, Regina, Saskatchewan, S4T 3C4",50.459360849999996,-104.62796665071943,38000,2,1,714,Residential,1926,Freehold
67,"168 Halifax STREET, Regina, Saskatchewan, S4R 1S6",50.4758094,-104.60375069961538,182000,2,1,704,Residential,1957,Freehold
68,"3428 Balsam GROVE, Regina, Saskatchewan, S4V 2S4",50.4248819,-104.52980002072397,624900,4,4,2258,Residential,1991,Freehold
69,"3213 Valley Green ROAD, Regina, Saskatchewan, S4V 3R2",50.4269025,-104.5216604,399900,3,3,1360,Residential,2022,Freehold
70,"3273 Valley Green ROAD, Regina, Saskatchewan, S4V 3R2",50.4269025,-104.5216604,419900,3,3,1546,Residential,2022,Freehold
72,"2912 Trombley STREET, Regina, Saskatchewan, S4V 3Y5",50.4293693,-104.5138026,583900,3,3,1908,Residential,2022,Freehold
73,"2988 George STREET, Regina, Saskatchewan, S4V 3W1",50.4314179,-104.5108068,369900,3,3,1428,Residential,2022,Freehold
74,"7976 Lentil AVENUE, Regina, Saskatchewan, S4Y 0E9",50.4516738,-104.6934891,319900,3,3,1224,Residential,2022,Freehold
75,"142 Elmview ROAD, Regina, Saskatchewan, S4H 0B6",50.48951495,-104.60865318781833,299900,4,2,980,Residential,1970,Freehold
76,"2036 Princess STREET, Regina, Saskatchewan, S4T 3Z4",50.4463788,-104.63576719619164,214900,2,2,618,Residential,1921,Freehold
77,"2544 Albert STREET, Regina, Saskatchewan, S4P 2V9",50.4389564,-104.61863078051772,699900,3,3,2444,Residential,1942,Freehold
79,"4801 4th AVENUE, Regina, Saskatchewan, S4T 0J5",50.4627194,-104.64977145074778,275000,2,1,2620,Residential,1955,Freehold
80,"442 Arthur STREET, Regina, Saskatchewan, S4R 4X4",50.47162755,-104.64849920124135,79050,2,1,848,Residential,1919,Freehold
81,"2525 McTavish STREET, Regina, Saskatchewan, S4S 0K5",50.43786025,-104.63362407511309,399900,4,4,1908,Residential,1958,Freehold
82,"763 Rink AVENUE, Regina, Saskatchewan, S4X 1S2",50.48750715,-104.68128751608697,284900,3,2,902,Residential,1977,Freehold
83,"1530 Lacon STREET, Regina, Saskatchewan, S4N 1Z4",50.4545126,-104.56966373109691,224900,3,1,1122,Residential,1929,Freehold
84,"2407 Klein PLACE E, Regina, Saskatchewan, S4V 2B6",50.41906975,-104.54805068141434,1050000,3,4,2998,Residential,1986,Freehold
85,"34 Stapleford CRESCENT, Regina, Saskatchewan, S4R 4S5",50.4782752,-104.64781754673272,249900,4,2,1111,Residential,1959,Freehold
86,"2871 Garnet STREET, Regina, Saskatchewan, S4S 1X1",50.4424126,-104.6267951,579900,5,4,1878,Residential,2014,Freehold
87,"1028 Snowberry WAY N, Regina, Saskatchewan, S4X 4P5",50.4950245,-104.65186175587249,349900,3,3,1075,Residential,2001,Freehold
88,"4709 Castle ROAD, Regina, Saskatchewan, S4S 4W9",50.404861049999994,-104.60242534686557,224900,3,1,979,Residential,1959,Freehold
89,"9 Stapleford CRESCENT, Regina, Saskatchewan, S4R 4S3",50.477203,-104.64803470853242,312900,3,2,960,Residential,1960,Freehold
90,"1004 Dewdney AVENUE E, Regina, Saskatchewan, S4N 0C8",50.4553719,-104.5688931,244900,3,2,803,Residential,1964,Freehold
91,"1316 Princess STREET, Regina, Saskatchewan, S4T 3Y8",50.457870099999994,-104.63581147059413,56900,3,1,1051,Residential,1913,Freehold
92,"2236 RETALLACK STREET, Regina, Saskatchewan, S4T 2K6",50.443219,-104.62278110596752,219900,4,2,1260,Residential,1911,Freehold
93,"430 St John STREET, Regina, Saskatchewan, S4R 1R3",50.471934149999996,-104.60236764988773,254900,2,2,878,Residential,1977,Freehold
94,"1843 Montreal STREET, Regina, Saskatchewan, S4P 1L2",50.44956075,-104.59738257503906,139900,5,2,986,Residential,1958,Freehold
95,"1018 Lindsay STREET, Regina, Saskatchewan, S4N 3A9",50.462527,-104.585425395047,189900,3,1,1080,Residential,1965,Freehold
96,"2371 MCLURG CRESCENT, Regina, Saskatchewan, S4V 2N3",50.44102525,-104.53349198111194,494900,3,3,1489,Residential,1988,Freehold
97,"2800 Grant ROAD, Regina, Saskatchewan, S4S 5G2",50.401588450000006,-104.60804862544643,339000,4,2,1276,Residential,1961,Freehold
98,"20 - 24 Empress DRIVE, Regina, Saskatchewan, S4T 6M4",50.4487918,-104.6496745,349900,5,1,1908,Residential,1969,Freehold
99,"1143 Montague STREET, Regina, Saskatchewan, S4T 3H8",50.460566,-104.62941745234042,195000,4,2,934,Residential,1959,Freehold
100,"1917 Robinson STREET, Regina, Saskatchewan, S4T 2P4",50.448419799999996,-104.62362150695188,237500,4,3,1350,Residential,1913,Freehold
101,"800 Broadway AVENUE, Regina, Saskatchewan, S4N 1C5",50.4379473,-104.5924551262915,239900,3,2,973,Residential,1920,Freehold
102,"3904 Princess DRIVE, Regina, Saskatchewan, S4S 0E7",50.43669705,-104.6375992780277,327500,3,2,1244,Residential,1959,Freehold
103,"2752 Abbott ROAD, Regina, Saskatchewan, S4N 2J6",50.4351982,-104.5741182,338900,6,2,1040,Residential,1954,Freehold
104,"58 Straub CRESCENT, Regina, Saskatchewan, S4T 6S6",50.468212550000004,-104.6750635500415,314900,3,2,1555,Residential,1973,Freehold
105,"3400 29TH AVENUE, Regina, Saskatchewan, S4S 2P3",50.4120619,-104.62992745608602,459000,4,3,1262,Residential,1964,Freehold
106,"1777 West Market STREET, Regina, Saskatchewan, S4Y 0G2",50.4509449,-104.6984781,349900,3,2,1204,Residential,2022,Freehold
107,"1064 Princess STREET, Regina, Saskatchewan, S4T 3Y3",50.46176105,-104.63578794151212,159900,2,1,860,Residential,1946,Freehold
108,"1943 Broder STREET, Regina, Saskatchewan, S4N 3R9",50.4479843,-104.59052739241072,289000,3,2,1026,Residential,1982,Freehold
109,"3224 Winchester ROAD, Regina, Saskatchewan, S4V 2S8",50.42873285,-104.53286725086895,799000,5,3,1794,Residential,1992,Freehold
110,"1240 QUEEN STREET, Regina, Saskatchewan, S4T 4B4",50.45904675,-104.63726072878788,179900,3,1,1000,Residential,1946,Freehold
111,"2045 Broder STREET, Regina, Saskatchewan, S4N 3S3",50.44619445,-104.59057352330788,171900,2,1,712,Residential,1927,Freehold
112,"37 CASTLE PLACE, Regina, Saskatchewan, S4S 4V9",50.4092698,-104.59706140125552,499000,3,4,1780,Residential,2003,Freehold
113,"2033 Broder STREET, Regina, Saskatchewan, S4N 3S3",50.44639960000001,-104.59054895,349900,3,3,1418,Residential,2008,Freehold
114,"3878 Gee CRESCENT, Regina, Saskatchewan, S4V 3N9",50.4199682,-104.5042427,399000,3,3,1412,Residential,2019,Freehold
115,"1824 Toronto STREET, Regina, Saskatchewan, S4P 1M6",50.4498368,-104.59942382280764,154900,3,2,940,Residential,1907,Freehold
116,"1177 King STREET, Regina, Saskatchewan, S4T 4E8",50.45996015,-104.63799184999999,164900,4,2,1044,Residential,1946,Freehold
117,"1212 College AVENUE, Regina, Saskatchewan, S4P 1A9",50.441069600000006,-104.59824192369109,249900,2,1,878,Residential,1940,Freehold
118,"1002 Broad STREET N, Regina, Saskatchewan, S4R 6V3",50.49407285,-104.6064022733589,364900,4,2,1528,Residential,1975,Freehold
119,"1109 Elliott STREET, Regina, Saskatchewan, S4N 3E9",50.461110500000004,-104.5862195966376,364900,2,3,1204,Residential,2022,Freehold
120,"2727 Argyle STREET, Regina, Saskatchewan, S4S 0K7",50.435941400000004,-104.63224402953969,447000,2,2,1158,Residential,1954,Freehold
121,"5106 WASCANA VISTA PLACE, Regina, Saskatchewan, S4V 2S3",50.419741,-104.53224946597899,675000,3,4,2392,Residential,1992,Freehold
122,"4533 James Hill ROAD, Regina, Saskatchewan, S4W 0K8",50.4045734,-104.6599751,319900,4,4,1176,Residential,2013,Freehold
123,"1849 Regent STREET, Regina, Saskatchewan, S4N 1S5",50.44932375,-104.56455690000001,269900,6,2,968,Residential,1987,Freehold
124,"1837 Regent STREET, Regina, Saskatchewan, S4N 1S5",50.4495548,-104.56455599446126,269900,6,2,968,Residential,1987,Freehold
125,"4326 Meadowsweet LANE, Regina, Saskatchewan, S4X 0C2",50.5009278,-104.6432194922801,419900,3,3,1428,Residential,2008,Freehold
126,"114 PORTLAND CRESCENT, Regina, Saskatchewan, S4N 1Y1",50.43578705,-104.56608148584948,399900,4,3,1176,Residential,1957,Freehold
127,"2915 Victoria AVENUE, Regina, Saskatchewan, S4T 1K8",50.4469301,-104.623230598971,579900,6,4,3087,Residential,1911,Freehold
128,"3280 Robinson STREET, Regina, Saskatchewan, S4S 1V8",50.4268855,-104.62423970511324,339900,3,2,1000,Residential,1950,Freehold
129,"3057 Retallack STREET, Regina, Saskatchewan, S4S 1T3",50.430491950000004,-104.62215490367007,299000,3,2,1176,Residential,1928,Freehold
130,"1115 12th AVENUE E, Regina, Saskatchewan, S4N 4W2",50.44855895,-104.56728022745939,299500,3,2,1060,Residential,1974,Freehold
131,"609 GARNET STREET, Regina, Saskatchewan, S4T 2W9",50.4693166,-104.62654635178177,64900,2,1,712,Residential,1956,Freehold
132,"1861 Regent STREET, Regina, Saskatchewan, S4N 1S5",50.44909265,-104.56455826360195,269900,6,2,968,Residential,1987,Freehold
133,"19 Weekes CRESCENT, Regina, Saskatchewan, S4R 6X6",50.49561285,-104.60349304322942,268000,3,3,1564,Residential,1975,Freehold
134,"774 Athol STREET, Regina, Saskatchewan, S4T 3B3",50.46631815,-104.62859070278529,69900,2,1,560,Residential,1924,Freehold
135,"3087 Trombley STREET, Regina, Saskatchewan, S4V 3V7",50.4293693,-104.5138026,385900,2,3,1248,Residential,2022,Freehold
136,"826 Porteous STREET N, Regina, Saskatchewan, S4X 2C1",50.49054985,-104.68611880011159,215000,3,1,952,Residential,1978,Freehold
137,"3028 Hill AVENUE, Regina, Saskatchewan, S4S 0W1",50.42861095,-104.62512198301948,499900,3,3,2296,Residential,1946,Freehold
138,"279 Halifax STREET, Regina, Saskatchewan, S4R 1S9",50.474085849999994,-104.60315683452382,174900,3,1,760,Residential,1952,Freehold
139,"1841 Regent STREET, Regina, Saskatchewan, S4N 1S5",50.44945615,-104.56455650850592,269900,6,2,968,Residential,1987,Freehold
140,"421 Pasqua STREET, Regina, Saskatchewan, S4R 4M8",50.471927449999995,-104.6407032550763,82000,4,1,664,Residential,1919,Freehold
141,"1433 Robinson STREET, Regina, Saskatchewan, S4T 2N7",50.45607375,-104.6236450505277,59900,2,1,672,Residential,1924,Freehold
142,"134 College AVENUE, Regina, Saskatchewan, S4N 0W5",50.4408745,-104.6122544,289900,3,1,929,Residential,2018,Freehold
143,"2925 Grant ROAD, Regina, Saskatchewan, S4S 5G5",50.4011167,-104.60405957568801,359900,3,1,1048,Residential,1961,Freehold
144,"1208 12TH AVENUE E, Regina, Saskatchewan, S4N 0M5",50.4490775,-104.56594282439897,379900,4,2,1282,Residential,1962,Freehold
146,"240 WELLS STREET, Regina, Saskatchewan, S4R 6T1",50.4918294,-104.64724276981423,309900,4,3,1176,Residential,1975,Freehold
147,"1865 Ottawa STREET, Regina, Saskatchewan, S4S 5G5",50.449231299999994,-104.60033044394764,209900,3,1,850,Residential,1907,Freehold
148,"4141 Montague STREET, Regina, Saskatchewan, S4S 3L3",50.4359605,-104.6301156,449000,4,3,1687,Residential,1964,Freehold
149,"116 Connaught CRESCENT, Regina, Saskatchewan, S4T 6M9",50.43973995,-104.6233390390264,609900,3,2,1666,Residential,1929,Freehold
150,"4802 Sandpiper CRESCENT E, Regina, Saskatchewan, S4V 1M8",50.4138286,-104.51640120217337,658000,5,3,1554,Residential,2009,Freehold
151,"14 UNIVERSITY PARK DRIVE, Regina, Saskatchewan, S4V 0C9",50.4267052,-104.56292291388888,414900,6,3,1150,Residential,1975,Freehold
152,"855 Callander CRESCENT N, Regina, Saskatchewan, S4X 1Z2",50.4906869,-104.66509371335442,269900,3,2,962,Residential,1978,Freehold
153,"1905 Grant DRIVE, Regina, Saskatchewan, S4S 4V6",50.40770515,-104.60654337488674,319900,3,1,1092,Residential,1958,Freehold
154,"2127 Broder STREET, Regina, Saskatchewan, S4N 3S5",50.44495125,-104.59050562818697,204900,3,1,1056,Residential,1959,Freehold
155,"2853 Robinson STREET, Regina, Saskatchewan, S4S 1T9",50.4339577,-104.62361363885572,239900,2,1,893,Residential,1928,Freehold
156,"4240 QUEEN STREET, Regina, Saskatchewan, S4S 5Y4",50.411331849999996,-104.63723185888948,325000,4,3,1748,Residential,1972,Freehold
157,"3028 Hill AVENUE, Regina, Saskatchewan, S4S 0W1",50.42861095,-104.62512198301948,499900,3,3,2296,Residential,1946,Freehold
158,"4312 2nd AVENUE N, Regina, Saskatchewan, S4R 0Y4",50.472582200000005,-104.64287817071502,179900,2,1,832,Residential,1954,Freehold
159,"1324 10th AVENUE E, Regina, Saskatchewan, S4N 0J6",50.4519211,-104.5621068,199800,3,1,864,Residential,1968,Freehold
160,"114 PORTLAND CRESCENT, Regina, Saskatchewan, S4N 1Y1",50.43578705,-104.56608148584948,399900,4,3,1176,Residential,1957,Freehold
161,"421 Pasqua STREET, Regina, Saskatchewan, S4R 4M8",50.471927449999995,-104.6407032550763,82000,4,1,664,Residential,1919,Freehold
162,"1112 Garnet STREET, Regina, Saskatchewan, S4S 4M2",50.461043399999994,-104.62714383227278,149500,3,1,892,Residential,1930,Freehold
163,"7226 Wascana Cove WAY, Regina, Saskatchewan, S4V 3G2",50.41649515,-104.53078202581102,565000,5,4,2072,Residential,2005,Freehold
164,"1849 Regent STREET, Regina, Saskatchewan, S4N 1S5",50.44932375,-104.56455690000001,269900,6,2,968,Residential,1987,Freehold
165,"3624 Grassick AVENUE, Regina, Saskatchewan, S4S 0Y9",50.43027375,-104.63408674800857,314900,4,1,1008,Residential,1953,Freehold
166,"19 Weekes CRESCENT, Regina, Saskatchewan, S4R 6X6",50.49561285,-104.60349304322942,268000,3,3,1564,Residential,1975,Freehold
167,"4141 Montague STREET, Regina, Saskatchewan, S4S 3L3",50.4359605,-104.6301156,449000,4,3,1687,Residential,1964,Freehold
168,"5133 MCKINLEY AVENUE, Regina, Saskatchewan, S4T 7L2",50.4685948,-104.6551435003255,249900,4,2,846,Residential,1975,Freehold
169,"1857 Regent STREET, Regina, Saskatchewan, S4N 1S5",50.449169749999996,-104.56455778663982,269900,6,2,968,Residential,1987,Freehold
170,"279 Halifax STREET, Regina, Saskatchewan, S4R 1S9",50.474085849999994,-104.60315683452382,174900,3,1,760,Residential,1952,Freehold
171,"5106 WASCANA VISTA PLACE, Regina, Saskatchewan, S4V 2S3",50.419741,-104.53224946597899,675000,3,4,2392,Residential,1992,Freehold
172,"601 College AVENUE E, Regina, Saskatchewan, S4N 0W3",50.44186345,-104.5736803474456,249900,5,2,1130,Residential,1957,Freehold
173,"4802 Sandpiper CRESCENT E, Regina, Saskatchewan, S4V 1M8",50.4138286,-104.51640120217337,658000,5,3,1554,Residential,2009,Freehold
174,"2410 Garnet STREET, Regina, Saskatchewan, S4T 3A4",50.44060425,-104.6271032820652,719500,4,4,1772,Residential,2000,Freehold
175,"342 Rose STREET N, Regina, Saskatchewan, S4R 2Y4",50.481538400000005,-104.6082588,221900,2,1,816,Residential,1961,Freehold
176,"1138 Princess STREET, Regina, Saskatchewan, S4T 3Y5",50.46064225,-104.63582015654762,149900,3,2,920,Residential,1916,Freehold
177,"1865 Regent STREET, Regina, Saskatchewan, S4N 1S5",50.44899655,-104.5645575496768,269900,6,2,968,Residential,1987,Freehold
178,"3912 Nottingham CRESCENT E, Regina, Saskatchewan, S4V 3A5",50.4334207,-104.52664046995218,424900,4,3,1281,Residential,2001,Freehold
179,"774 Athol STREET, Regina, Saskatchewan, S4T 3B3",50.46631815,-104.62859070278529,69900,2,1,560,Residential,1924,Freehold
180,"2464 Wallace STREET, Regina, Saskatchewan, S4N 4B3",50.4395716,-104.59402254685713,254800,2,2,888,Residential,1928,Freehold
